id;name;vat;edr_state;company_id
contacts.44000001;"""АВАНГАРД  ДИСТРИБУЦІЇ"" Товариство з обмеженою відповідальністю";44000001;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000002;"""АВТО-ПОРТАЛ"" ПРИВАТНЕ ПІДПРИЄМСТВО";44000002;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000003;"""АНТАРЕС КО"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000003;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000004;"""АРТ-БІЗНЕС ПЛЮС"" ТОВ";44000004;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000005;"""Ана-Темс"" Товариство з обмеженою відповідальністю";44000005;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000006;"""БАРІОН"" НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000006;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000007;"""Будекспромт"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000007;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000008;"""ВІСТ-ПИВОВАРНЯ"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000008;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000009;"""Віксол"" Товариство з обмеженою відповідальністю";44000009;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000010;"""ДІАЛ-ІНВЕСТ"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000010;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000011;"""ДДС"" КОМПАНІЯ"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000011;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000012;"""ДЕЛЬТА ІІІ"" ПРИВАТНЕ ПІДПРИЄМСТВО";44000012;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000013;"""ДНІПРОВСЬКА МАНУФАКТУРА"" Товариство з обмеженою відповідальністю";44000013;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000014;"""Дніпровська Медіа Компанія"" ТОВ";44000014;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000015;"""ЕЛІТМЕТ""ТОВ";44000015;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000016;"""ЕЛЕКТРОКОНСАЛТИНГ"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000016;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000017;"""ЕНЕРГОМЕХАНІКА""ТОВ";44000017;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000018;"""ЕРІТРЕЯ"" ПРИВАТНЕ ПІДПРИЄМСТВО";44000018;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000019;"""ЗАПОРІЖБУД"" ОБЧИСЛЮВАЛЬНИЙ ЦЕНТР"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000019;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000020;"""ЗАПОРІЖДНЕПРТРАНС"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000020;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
contacts.44000021;"""ЗАПОРІЖСПЕЦЮСТ"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";44000021;зареєстровано;"ПАТ ""ДІАМАНТБАНК"""
